subj,shot,timestamp,x,y,duration,sacc_amplitude,sacc_dur
s01,lab08,0.048400,894.988800,509.884200,0.016286,28.807435,0.016030
s01,lab08,0.080716,867.822277,519.467954,0.210378,575.111994,0.161511
s01,lab08,0.452605,378.897600,216.637200,0.032690,637.921350,0.193517
s01,lab08,0.678812,949.562585,501.742662,0.210662,47.302953,0.016520
s01,lab08,0.905994,947.510715,549.001092,0.986393,721.392015,0.113026
s01,lab08,2.005413,1583.619388,208.747959,0.550080,391.126816,0.096735
s01,lab08,2.652228,1600.531200,599.508982,0.178304,370.286988,0.096783
s01,lab08,2.927315,1605.422400,229.254300,0.032350,48.080359,0.016346
s01,lab08,2.976011,1573.203200,264.942450,0.194106,43.459478,0.032501
s01,lab08,3.202618,1574.645760,221.506920,0.080520,571.375489,0.097472
s01,lab08,3.380610,1579.660800,792.860400,0.016056,14.757311,0.016240
s01,lab08,3.412906,1577.330655,807.432587,1.520306,1198.449647,0.145572
s01,lab08,5.078784,378.883200,809.724600,0.016068,68.001824,0.016210
s01,lab08,5.111062,314.470255,787.925045,1.067548,394.777368,0.129916
s01,lab08,6.308526,345.955200,394.405200,0.015295,117.342721,0.016739
s01,lab08,6.340560,326.171458,278.742252,0.501212,54.912705,0.016310
s01,lab08,6.858082,316.070957,224.766470,1.115894,18.802777,0.048581
s01,lab08,8.022557,334.023467,230.356800,0.290841,35.261661,0.016288
s01,lab08,8.329686,317.961600,198.965700,0.065181,79.410869,0.048359
s01,lab08,8.443226,336.795974,276.110710,1.504060,0.000000,0.048359
s02,lab08,0.048733,1132.128000,645.472800,0.016184,48.514776,0.016389
s02,lab08,0.081306,1116.083200,599.688000,0.096519,38.462276,0.016781
s02,lab08,0.194606,1092.873600,630.358200,0.015916,534.882723,0.097250
s02,lab08,0.307772,1596.672000,810.043200,0.015961,34.577096,0.016141
s02,lab08,0.339874,1591.239273,775.895564,0.533843,12.674262,0.016192
s02,lab08,0.889909,1593.210642,788.415572,0.695540,485.212721,0.129211
s02,lab08,1.714660,1621.728000,304.041600,0.016646,19.916591,0.015943
s02,lab08,1.747249,1634.716800,319.140000,0.032222,129.939778,0.032459
s02,lab08,1.811930,1600.959000,193.661887,0.259064,78.459252,0.032169
s02,lab08,2.103163,1643.475200,127.720800,0.048431,91.019606,0.032526
s02,lab08,2.184120,1609.290764,212.077145,0.177588,85.956694,0.032778
s02,lab08,2.394486,1671.523200,152.784000,0.048469,69.463336,0.015816
s02,lab08,2.458771,1626.812554,205.945200,0.630734,12.534330,0.016328
s02,lab08,3.105833,1622.328686,194.240314,0.113186,71.941676,0.032363
s02,lab08,3.251382,1576.782400,249.928200,0.096987,134.263439,0.064757
s02,lab08,3.413126,1647.528000,135.815400,0.032337,97.122031,0.032464
s02,lab08,3.477927,1634.736000,232.091325,0.129381,1258.320394,0.145472
s02,lab08,3.752780,376.502400,217.312200,0.016302,51.654666,0.015685
s02,lab08,3.784767,334.078629,246.781305,1.472281,543.563060,0.097025
s02,lab08,5.354073,350.342400,790.101000,0.016311,42.167356,0.015716
s02,lab08,5.386100,309.810327,778.471855,0.178398,87.087331,0.015646
s02,lab08,5.580144,227.476800,750.092400,0.064941,95.479918,0.016340
s02,lab08,5.661425,304.684032,806.265864,1.212823,1270.711276,0.178303
s02,lab08,7.052551,1575.270667,824.063325,1.164152,639.624433,0.113394
s02,lab08,8.330097,985.220554,577.161969,1.261545,16.198064,0.016440
s02,lab08,9.608082,970.854933,584.645700,0.291359,15.094943,0.016031
s02,lab08,9.915472,977.078400,570.893400,0.016374,0.000000,0.016031
s03,lab08,0.115013,950.286933,569.307000,0.147883,114.861038,0.049240
s03,lab08,0.312136,922.429714,457.875257,0.115059,134.999133,0.098498
s03,lab08,0.525693,871.430400,582.870600,0.032900,146.914266,0.065767
s03,lab08,0.624360,1011.667200,626.659200,0.016151,161.837406,0.131585
s03,lab08,0.772096,928.075200,488.081700,0.032824,90.535439,0.032960
s03,lab08,0.837880,937.588800,398.047500,0.032841,174.186235,0.049225
s03,lab08,0.919946,971.932800,568.814400,0.016392,135.254655,0.049379
s03,lab08,0.985717,887.097600,463.473000,0.049301,144.239427,0.065707
s03,lab08,1.100725,989.280000,361.670400,0.016392,267.457510,0.065731
s03,lab08,1.182848,935.092800,623.581200,0.032824,117.109177,0.049422
s03,lab08,1.265094,949.950821,507.418389,0.312056,33.390409,0.016417
s03,lab08,1.593567,981.211200,519.153300,0.032844,73.250911,0.016483
s03,lab08,1.642894,907.961600,519.591600,0.049301,108.659418,0.016377
s03,lab08,1.708572,976.406400,603.984600,0.016399,149.781322,0.065770
s03,lab08,1.790741,939.027200,458.942400,0.049248,53.968260,0.016456
s03,lab08,1.856445,958.064640,509.441400,0.082170,183.737764,0.098556
s03,lab08,2.037171,1005.033600,331.808400,0.032794,130.322405,0.065773
s03,lab08,2.135738,953.452800,451.488600,0.016478,460.197385,0.114929
s03,lab08,2.267145,514.084800,314.604000,0.032838,327.157219,0.131478
s03,lab08,2.431461,247.700800,124.679250,0.197059,87.547635,0.016551
s03,lab08,2.645071,250.497600,212.182200,0.032762,123.606165,0.049354
s03,lab08,2.727187,252.144000,88.587000,0.016333,85.003853,0.033000
s03,lab08,2.776520,271.300800,171.404100,0.032678,124.698709,0.065743
s03,lab08,2.874941,192.360000,74.873700,0.032773,196.503033,0.049486
s03,lab08,2.957200,316.531200,227.172600,0.016426,170.856721,0.049198
s03,lab08,3.022824,221.966400,84.871800,0.032918,54.308419,0.016424
s03,lab08,3.072166,253.386000,129.168675,0.131471,134.963484,0.049242
s03,lab08,3.252879,344.784000,228.474000,0.016358,293.548450,0.065702
s03,lab08,3.334939,160.473600,0.000000,0.016484,82.605783,0.016338
s03,lab08,3.367761,199.426560,72.844920,0.082254,124.279761,0.049306
s03,lab08,3.499321,266.476800,177.485850,0.131401,77.065425,0.032919
s03,lab08,3.663641,214.510080,120.577680,0.082103,48.760224,0.016401
s03,lab08,3.762145,228.835200,73.969200,0.049254,57.236557,0.016555
s03,lab08,3.827954,223.430400,130.950000,0.032744,133.053696,0.065624
s03,lab08,3.926322,141.936000,25.774200,0.016586,73.455587,0.164257
s03,lab08,4.107165,183.974400,86.011200,0.016386,66.133728,0.016502
s03,lab08,4.140053,222.679200,139.635900,0.065629,105.601395,0.049384
s03,lab08,4.255066,312.581760,195.036120,0.082129,138.977565,0.049135
s03,lab08,4.386330,239.678400,76.715100,0.033036,121.049325,0.049255
s03,lab08,4.468621,291.964800,185.889600,0.016404,115.696576,0.082120
s03,lab08,4.567145,213.825600,100.566900,0.032908,94.378473,0.016345
s03,lab08,4.616398,245.985600,189.297000,0.032892,222.764145,0.049347
s03,lab08,4.698637,90.076800,30.186000,0.016404,206.020880,0.065681
s03,lab08,4.780722,264.514560,139.803840,0.082202,182.301976,0.065669
s03,lab08,4.928593,142.800000,4.085100,0.032753,233.857536,0.065824
s03,lab08,5.027170,263.548800,204.357600,0.016429,87.856786,0.032817
s03,lab08,5.076416,236.094400,120.900600,0.098490,70.885430,0.032983
s03,lab08,5.207889,208.411200,55.644300,0.032830,714.013321,0.098569
s03,lab08,5.339288,171.878400,768.722400,0.016459,146.775190,0.131409
s03,lab08,5.487156,289.843200,856.056600,0.098590,105.573745,0.065650
s03,lab08,5.651396,230.718400,768.591900,0.197200,107.233338,0.032877
s03,lab08,5.881473,328.032000,813.636900,0.032747,169.066986,0.115046
s03,lab08,6.029266,233.803200,673.263900,0.032876,235.959341,0.082195
s03,lab08,6.144337,369.715200,866.149200,0.016382,132.171543,0.049280
s03,lab08,6.209999,270.260400,779.097150,0.131541,71.133528,0.032755
s03,lab08,6.374295,209.439360,742.208400,0.082090,129.358241,0.065835
s03,lab08,6.522220,303.402514,831.115543,0.114949,156.832981,0.065668
s03,lab08,6.702837,165.532800,756.359100,0.098647,168.338160,0.065666
s03,lab08,6.867150,314.323200,835.093800,0.016424,146.578324,0.065694
s03,lab08,6.949268,215.212800,727.101514,0.115073,91.136819,0.032822
s03,lab08,7.097163,260.234400,806.341500,0.065587,36.192284,0.016597
s03,lab08,7.179347,295.945920,800.461980,0.164287,92.316934,0.049253
s03,lab08,7.392887,204.724114,814.639371,0.114969,93.800348,0.065758
s03,lab08,7.573614,277.574400,755.551800,0.016393,95.970287,0.131447
s03,lab08,7.721454,182.995200,739.270800,0.016441,1388.148477,0.262827
s03,lab08,8.000722,1507.214400,322.857900,0.032873,38.129503,0.016392
s03,lab08,8.049987,1469.601600,329.113800,0.032839,232.861745,0.065823
s03,lab08,8.148649,1618.790400,150.319800,0.016319,124.091247,0.049303
s03,lab08,8.214271,1638.910080,272.769120,0.082131,104.749197,0.032890
s03,lab08,8.329292,1598.912000,175.957200,0.049304,67.649697,0.016412
s03,lab08,8.395008,1651.828800,218.103300,0.032695,112.670105,0.049332
s03,lab08,8.477035,1540.608000,200.089800,0.049272,106.632390,0.065782
s03,lab08,8.592089,1647.051733,193.749600,0.148015,93.300000,0.016343
s03,lab08,8.756447,1572.232960,249.490440,0.246441,131.555903,0.065715
s03,lab08,9.068603,1683.916800,179.965800,0.016370,93.113234,0.032911
s03,lab08,9.117884,1603.424914,226.775314,0.114961,93.050896,0.049327
s03,lab08,9.282172,1642.080000,142.133400,0.032791,160.526555,0.082210
s03,lab08,9.397173,1559.692800,279.905400,0.049287,147.868044,0.049311
s03,lab08,9.495771,1634.976000,152.636400,0.032844,60.236153,0.016361
s03,lab08,9.544976,1600.077600,201.733200,0.065701,84.571097,0.032863
s03,lab08,9.643540,1649.985600,133.458300,0.033024,150.955055,0.098438
s03,lab08,9.775002,1589.551543,271.788171,0.114958,71.500051,0.032900
s03,lab08,9.922860,1593.340800,200.388600,0.016404,0.000000,0.032900
